Name,Vision,Weapon,Rarity,Region
Aloy,Cryo,Bow,5,Other
Traveler,Anemo,Sword,5,Other
Traveler,Dendro,Sword,5,Other
Traveler,Electro,Sword,5,Other
Traveler,Geo,Sword,5,Other
Albedo,Geo,Sword,5,Mondstadt
Diluc,Pyro,Claymore,5,Mondstadt
Eula,Cryo,Claymore,5,Mondstadt
Jean,Anemo,Sword,5,Mondstadt
Klee,Pyro,Catalyst,5,Mondstadt
Mona,Hydro,Catalyst,5,Mondstadt
Venti,Anemo,Bow,5,Mondstadt
Amber,Pyro,Bow,4,Mondstadt
Barbara,Hydro,Catalyst,4,Mondstadt
Bennett,Pyro,Sword,4,Mondstadt
Diona,Cryo,Bow,4,Mondstadt
Fischl,Electro,Bow,4,Mondstadt
Kaeya,Cryo,Sword,4,Mondstadt
Lisa,Electro,Catalyst,4,Mondstadt
Noelle,Geo,Claymore,4,Mondstadt
Razor,Electro,Claymore,4,Mondstadt
Rosaria,Cryo,Polearm,4,Mondstadt
Sucrose,Anemo,Catalyst,4,Mondstadt
Ganyu,Cryo,Bow,5,Liyue
Hu Tao,Pyro,Polearm,5,Liyue
Keqing,Electro,Sword,5,Liyue
Qiqi,Cryo,Sword,5,Liyue
Shenhe,Cryo,Polearm,5,Liyue
Xiao,Anemo,Polearm,5,Liyue
Yelan,Hydro,Bow,5,Liyue
Zhongli,Geo,Polearm,5,Liyue
Beidou,Electro,Claymore,4,Liyue
Chongyun,Cryo,Claymore,4,Liyue
Ningguang,Geo,Catalyst,4,Liyue
Xiangling,Pyro,Polearm,4,Liyue
Xingqiu,Hydro,Sword,4,Liyue
Xinyan,Pyro,Claymore,4,Liyue
Yanfei,Pyro,Catalyst,4,Liyue
Yun Jin,Geo,Polearm,4,Liyue
Arataki Itto,Geo,Claymore,5,Inazuma
Kaedehara Kazuha,Anemo,Sword,5,Inazuma
Kamisato Ayaka,Cryo,Sword,5,Inazuma
Kamisato Ayato,Hydro,Sword,5,Inazuma
Raiden Shogun,Electro,Polearm,5,Inazuma
Sangonomiya Kokomi,Hydro,Catalyst,5,Inazuma
Yae Miko,Electro,Catalyst,5,Inazuma
Yoimiya,Pyro,Bow,5,Inazuma
Gorou,Geo,Bow,4,Inazuma
Kujou Sara,Electro,Bow,4,Inazuma
Kuki Shinobu,Electro,Sword,4,Inazuma
Sayu,Anemo,Claymore,4,Inazuma
Shikanoin Heizou,Anemo,Catalyst,4,Inazuma
Thoma,Pyro,Polearm,4,Inazuma
Cyno,Electro,Polearm,5,Sumeru
Nilou,Hydro,Sword,5,Sumeru
Candace,Hydro,Polearm,4,Sumeru
Collei,Dendro,Bow,4,Sumeru
Dori,Electro,Claymore,4,Sumeru
Tighnari,Dendro,Bow,4,Sumeru
Tartaglia,Hydro,Bow,5,Snezhnaya
